Kod,Ders,Eğitmen(ler),Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm sınırlaması,CRN,Term
FIZ 284E,Classical Mechanics I,Mehmet Nazmi Postacıoğlu,Pazartesi Cuma,1030/1229 1030/1229,FEB FEB,61.0,99,FIZ FIZE,21407.0,2021 - 2022 Bahar Dönemi
MAT 104E,Mathematics II,Sevgi Harman,Çarşamba Perşembe,0830/1129 1230/1429,,101.0,99,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,10828.0,2020 - 2021 Güz Dönemi
MAT 104E,Mathematics II,Sultan Erdoğan Demir,Çarşamba Perşembe,0830/1129 1230/1429,,101.0,99,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEMM GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEFM JEO JEOE KIM KIME KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAKM MATM MET METE MTO MTOE PET PETE PETM SEH TEK TEKE TEL UCK UCKE UCKM UZB UZBE UZBM,10824.0,2020 - 2021 Güz Dönemi
MAT 104,Matematik II,Mehmet Ali Karaca,Pazartesi Salı,0830/1129 1130/1329,,95.0,99,BIO BLG CEV CHZ DEN DUI END FIZ GEM GEMM GEO GID GMI IML IMLM INS ISL JDF JEF JEFM JEO KIM KMM KMMM MAD MAK MAKM MATM MET MKNM MTO PET PETM TEK UCK UCKM UZB UZBM,20787.0,2020 - 2021 Bahar Dönemi
MAT 210,Mühendislik Matematiği,Güler Arsan,Çarşamba Perşembe,0830/1029 1230/1429,,99.0,99,BIO BLG CEV CHZ DUI EHB ELE ELH ELK END FIZ GEO GMI INS JDF JEF JEFM JEO KIM MAD MATM MET MTO PET TEK TEL UCK UCKM UZB UZBM,10609.0,2020 - 2021 Güz Dönemi
FIZ 284E,Classical Mechanics I,Vakıf Kemal Önemli,Pazartesi Cuma,1030/1229 1030/1229,,63.0,99,FIZ FIZE FIZM,14233.0,2021 - 2022 Güz Dönemi
FIZ 284E,Classical Mechanics I,Mehmet Cem Güçlü,Pazartesi Cuma,1030/1229 1030/1229,FEB FEB,96.0,99,FIZ FIZE FIZM,25153.0,2019 - 2020 Bahar Dönemi
FIZ 284E,Classical Mechanics I,Mehmet Cem Güçlü,Pazartesi Cuma,1030/1229 1030/1229,,77.0,99,FIZ FIZE FIZM,20969.0,2020 - 2021 Bahar Dönemi
EHB 232E,Circuit and System Analysis,Onur Ferhanoğlu,Pazartesi,1230/1529,,100.0,98.0,EHB EHBE ELE ELH ELK ELKE TEL,25202.0,2020 - 2021 Bahar Dönemi
EHB 232E,Circuit and System Analysis,Müştak Erhan Yalçın,Pazartesi,1230/1529,,102.0,98.0,EHB EHBE ELE ELH ELK ELKE TEL,22595.0,2020 - 2021 Bahar Dönemi
