Semester,Course Code,Course Name,Credits,Prerequisites,Type
1. Yarıyıl,END 113E,Endüstri Müh. Giriş ve Etik,2,Yok,Main
1. Yarıyıl,FIZ 101E,Fizik I,3,Yok,Main
1. Yarıyıl,FIZ 101EL,Physics I Laboratory,1,Yok,Main
1. Yarıyıl,BIL 100E,Intr.to Prog.Language(PYTHON),2,Yok,Main
1. Yarıyıl,MAT 103E,Matematik I,4,Yok,Main
1. Yarıyıl,TUR 121,Türk Dili I,0,Yok,Main
1. Yarıyıl,ING 100,EAP Through Global Goals,3,Önşartı için tıklayınız.,Main
1. Yarıyıl,ATA 121,Atatürk İlk & İnkılap Trh I,0,Yok,Main
2. Yarıyıl,FIZ 102E,Fizik II (Elektrik Fiziği),3,Yok,Main
2. Yarıyıl,FIZ 102EL,Physics II Laboratory,1,Yok,Main
2. Yarıyıl,KIM 101E,General Chemistry I,3,Yok,Main
2. Yarıyıl,KIM 101EL,General Chemistry I Lab,1,Yok,Main
2. Yarıyıl,END 112E,Intr. to Manufacturing Systems,3,Yok,Main
2. Yarıyıl,MAT 104E,Matematik II,4,MAT 103 MIN DD veya MAT 103E MIN DD veya MAT 101 MIN DD veya MAT 101E MIN DD veya MAT 112 MIN DD veya MAT 112E MIN DD veya MAT 187 MIN DD veya MAT 187E MIN DD veya MAT 185 MIN DD veya MAT 185E MIN DD,Main
2. Yarıyıl,DAN 102,Girişimcilik & Kariyer Danış.,0,Yok,Main
2. Yarıyıl,ING 112A,Basics of Academic Writing,2,Önşartı için tıklayınız.,Main
3. Yarıyıl,END 213E,Data Manag.in Industrial Syst.,3,Yok,Main
3. Yarıyıl,END 210E,End. Müh.için Doğrusal Cebir,3,Yok,Main
3. Yarıyıl,EKO 201E,Ekonomi,3,Yok,Main
3. Yarıyıl,END 215E,Sistem Düşüncesi ve Analizi,2,Yok,Main
3. Yarıyıl,END 252E,Theory of Probability,3,MAT 103 MIN DD veya MAT 103E MIN DD veya MAT 101 MIN DD veya MAT 101E MIN DD,Main
3. Yarıyıl,ING 201A,Essentials of Res.Paper Writ.,2,Önşartı için tıklayınız.,Main
4. Yarıyıl,MEK 205,Mühendislik Mekaniği,3,MAT 102 MIN DD veya MAT 102E MIN DD veya MAT 104 MIN DD veya MAT 104E MIN DD,Main
4. Yarıyıl,END 232E,İşbilim,3,Yok,Main
4. Yarıyıl,END 311E,İstatistik,3,END 252 MIN DD veya END 252E MIN DD veya VBA 252E MIN DD,Main
4. Yarıyıl,END 331E,Yöneylem Araştırması I,3,MAT 261 MIN DD veya MAT 261E MIN DD veya MAT 121 MIN DD veya MAT 121E MIN DD veya MAT 210 MIN DD veya MAT 210E MIN DD veya END 210 MIN DD veya END 210E MIN DD,Main
4. Yarıyıl,END 201E,Industrial Eng.Appl. in Python,2,BIL 110E MIN DD veya BIL 100E MIN DD,Main
4. Yarıyıl,HUK 201,İş Hukuku,3,Yok,Main
5. Yarıyıl,END 341E,İş Etüdü ve Dizaynı,3,END 232 MIN DD veya END 232E MIN DD,Main
5. Yarıyıl,END 421E,Üretim Planlama ve Kontrol,3,END 331 MIN DD veya END 331E MIN DD,Main
5. Yarıyıl,END 332E,Operations Research II,3,END 331 MIN DD veya END 331E MIN DD,Main
5. Yarıyıl,END 305E,Data Analytics for Business,3,(END 311 MIN DD veya END 311E MIN DD veya ECN 211E MIN DD veya ECN 209E MIN DD veya VBA 311E MIN DD) ve (VBA 113E MIN DD veya BIL 100E MIN DD),Main
6. Yarıyıl,END 312E,Mühendislik Ekonomisi,3,Yok,Main
6. Yarıyıl,END 322E,Sistem Simülasyonu,3,(END 211 MIN DD veya END 211E MIN DD veya END 215 MIN DD veya END 215E MIN DD) ve (END 311 MIN DD veya END 311E MIN DD),Main
6. Yarıyıl,END 308E,Kalite Mühendisliği,2,END 311 MIN DD veya END 311E MIN DD,Main
7. Yarıyıl,END 4901E,Endüstri Müh. Tasarımı I,4,(END 421 MIN DD veya END 421E MIN DD veya END 322 MIN DD veya END 322E MIN DD) ve (END 332 MIN DD veya END 332E MIN DD veya END 305 MIN DD veya END 305E MIN DD) ve (FIZ 101 MIN DD veya FIZ 101E MIN DD) ve FIZ 101EL MIN DD ve (MAT 103 MIN DD veya MAT 103E MIN DD) ve (FIZ 102 MIN DD veya FIZ 102E MIN DD) ve FIZ 102EL MIN DD ve (KIM 101 MIN DD veya KIM 101E MIN DD) ve KIM 101EL MIN DD ve (MAT 104 MIN DD veya MAT 104E MIN DD) ve (END 210 MIN DD veya END 210E MIN DD veya MAT 210 MIN DD veya MAT 210E MIN DD),Main
7. Yarıyıl,END 411E,Bütünleşik Üretim Sistemleri,2,END 112 MIN DD veya END 112E MIN DD,Main
7. Yarıyıl,END 431E,Yönetim ve Organizasyon,3,Yok,Main
7. Yarıyıl,END 449E,End. Müh. Uyg. Seminer Dersi,0,Yok,Main
8. Yarıyıl,END 4902E,Endüstri Müh. Tasarımı II,4,END 4901 MIN BB veya END 4901E MIN BB,Main
8. Yarıyıl,END 412E,İnsn Kynkları Yntmnin Temeller,3,END 431 MIN DD veya END 431E MIN DD,Main
8. Yarıyıl,ATA 122,Atatürk İlk & İnkılap Trh II,0,Yok,Main
